"Name","smiles","Total.Molweight","Molweight","Monoisotopic.Mass","cLogP","cLogS","H.Acceptors","H.Donors","Total.Surface.Area","Relative.PSA","Polar.Surface.Area","Druglikeness","Mutagenic","Tumorigenic","Reproductive.Effective","Irritant","Shape.Index","Molecular.Flexibility","Molecular.Complexity","Fragments","Non.H.Atoms","Non.C.H.Atoms","Metal.Atoms","Electronegative.Atoms","Stereo.Centers","Rotatable.Bonds","Rings.Closures","Small.Rings","Aromatic.Rings","Aromatic.Atoms","sp3.Atoms","Symmetric.atoms","Amides","Amines","Alkyl.Amines","Aromatic.Amines","Aromatic.Nitrogens","Basic.Nitrogens","Acidic.Oxygens","DataSet"
"3-hydroxy-2,3-dihydro-1H-indol-2-one","O=C1NC=2C=CC=CC2C1O",149.149,149.149,149.047679,0.0429,-1.459,3,2,107.82,0.34873,49.33,2.2599,"none","none","none","none",0.54545,0,0.72612,1,11,3,0,3,1,0,2,2,1,6,2,0,1,0,0,0,0,0,0,"NewGeroprotectors"
"1H-indole-2-carboxylic acid","O=C(O)C1=CC=2C=CC=CC2N1",161.16,161.16,161.047679,1.2381,-2.178,3,2,121.53,0.33021,53.09,1.9884,"none","none","none","none",0.58333,0.20012,0.71278,1,12,3,0,3,0,1,2,2,2,9,1,0,0,0,0,0,1,0,1,"NewGeroprotectors"
"5-hydroxy-6-methyl-3,4-dihydro-2H-pyran-4-one","O=C1C(O)=C(OCC1)C",128.127,128.127,128.047345,0.0814,-1.324,3,1,96.8,0.37335,46.53,-2.0986,"none","none","none","none",0.55556,0.14256,0.78387,1,9,3,0,3,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,"NewGeroprotectors"
"3-methyl-7-oxabicyclo[4.1.0]hept-3-ene-2,5-dione","O=C1C=C(C(=O)C2OC12)C",138.122,138.122,138.031695,-0.3498,-1.033,3,0,101.62,0.43033,46.67,-0.43374,"none","none","none","none",0.6,0.18916,0.83793,1,10,3,0,3,2,0,2,3,0,0,4,0,0,0,0,0,0,0,0,"NewGeroprotectors"
"Chlorogentisylquinone","O=C1C=C(Cl)C(=O)C(=C1)CO",172.567,172.567,171.992722,0.0172,-1.306,3,1,120.45,0.32528,54.37,0.55054,"none","none","none","none",0.54545,0.35457,0.77836,1,11,4,0,4,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,"NewGeroprotectors"
"2-hydroxy-4-iminocyclohexa-2,5-dien-1-one","O=C1C=CC(=N)C=C1O",123.111,123.111,123.032029,-0.8144,-0.109,3,2,95.62,0.43652,61.15,1.2884,"none","none","none","none",0.66667,0.24651,0.72259,1,9,3,0,3,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,"NewGeroprotectors"
"4a,8,8-trimethyl-decahydronaphthalene-1,2,4-triol","OC1CC(O)C2(C)CCCC(C)(C)C2C1O",228.331,228.331,228.172545,1.3574,-2.413,3,3,168.19,0.23366,60.69,-3.747,"none","none","none","none",0.4375,0.34139,0.75547,1,16,3,0,3,5,0,2,2,0,0,16,1,0,0,0,0,0,0,0,"NewGeroprotectors"
"Dopet","OC1=CC=C(C=C1O)CCO",154.164,154.164,154.062995,0.801,-1.02,3,3,119.83,0.32796,60.69,-4.1391,"none","none","none","none",0.72727,0.41069,0.67346,1,11,3,0,3,0,2,1,1,1,6,5,0,0,0,0,0,0,0,0,"NewGeroprotectors"
"8-hydroxy-4,11-dimethyl-1H,2H,3H,4H,5H,7aH,8H,9H,9aH,10H,13H-indeno[3,3a-e]azonin-13-one","O=C1C=C(C)CC2CC(O)C3C=CCN(C)CCCC132",275.39,275.39,275.188529,2.1325,-2.133,3,1,213.6,0.139,40.54,3.1835,"none","none","none","none",0.5,0.28432,0.8486,1,20,3,0,3,4,0,3,2,0,0,14,0,0,1,1,0,0,1,0,"NewGeroprotectors"
"Pigmol","OC1C(CCC2(C)CCCC(O)(C)C12)C(O)(C)C",256.384,256.384,256.203845,1.9892,-2.724,3,3,192.12,0.20456,60.69,-2.5002,"none","none","none","none",0.44444,0.40889,0.78821,1,18,3,0,3,5,1,2,2,0,0,18,1,0,0,0,0,0,0,0,"NewGeroprotectors"
"2-amino-2-cyclopentylacetic acid","O=C(O)C(N)C1CCCC1",143.185,143.185,143.094629,-1.989,-1.462,3,2,112.66,0.36757,63.32,-8.7657,"none","none","none","none",0.6,0.58988,0.57807,1,10,3,0,3,1,2,1,1,0,0,8,2,0,1,1,0,0,1,1,"NewGeroprotectors"
