Compound,Life_extended,CAS Number,SMILES,Canonical_SMILES
,0,,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)OC)OC,COc1cc2c(cc1OC)-c1cc3ccc(OC)c(OC)c3c[n+]1CC2
,0,,COC1=CC=C(C=C1)C2=CC=C(C=C2)C3=CN(N=N3)C(=O)N4CCCCC4C5=CC=CC=C5,COc1ccc(-c2ccc(-c3cn(C(=O)N4CCCCC4c4ccccc4)nn3)cc2)cc1
,0,,CC1=CC(=C(C=C1)SC2=CC=CC=C2N3CCNCC3)C,Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1
,0,,C[C@H]1COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C,C[C@H]1COC2=C1C(=O)C(=O)c1c2ccc2c1CCCC2(C)C
,0,,C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)NN,C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O
,0,,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
,0,,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O)O,O=c1cc(-c2ccc(O)cc2)oc2cc(O)c(O)c(O)c12
,0,,CCN(CC)CCNC(=O)C1=C(C=CC(=C1)S(=O)(=O)C)OC.Cl,CCN(CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC.Cl
,0,,CC1=CC(=CC=C1)C2CN(CCC3=C(C(=C(C=C23)O)O)Cl)C.Br,Br.Cc1cccc(C2CN(C)CCc3c2cc(O)c(O)c3Cl)c1
,0,,C1=CC=C(C(=C1)C(=O)OC2=CC=CC=C2C(=O)O)O,O=C(Oc1ccccc1C(=O)O)c1ccccc1O
,0,,C1=CC=C(C=C1)CCC2/C(=C/CCCCC(=O)N)/C(=O)O2,NC(=O)CCCC/C=C1\C(=O)OC1CCc1ccccc1
