Compound,Life_extended,CAS Number,SMILES
,0,,NC(Cc1ccccc1)C(=O)O
,0,,O=C(O)C=Cc1cnc[nH]1
,0,,O=C(CO)CO
,0,,O=CC(O)CO
,0,,O=CC(O)C1OC(=O)C(O)C1O
,0,,CCC(=O)O
,0,,O=CC(O)C(O)C(O)C(O)CO
,0,,CO
,0,,CC1(C)SC2C(NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2C1C(=O)O
,0,,C=C(C)C1C2OC(=O)C1C1(O)CC3OC34C(=O)OC2C14C
,0,,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO
,0,,O=C1CCC(=O)N1
,0,,CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21
,0,,CCCCC(=O)OC1(C(=O)CO)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C
,0,,NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O
,0,,CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2
,0,,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O
,0,,CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO
,0,,NCCS
,0,,C=CCN1CCc2c(cc(O)c(O)c2Cl)C(c2ccccc2)C1
,0,,Oc1cc2c(c(Cl)c1O)CCNCC2c1ccccc1
,0,,Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1
,0,,Cc1cccc(C2CN(C)CCc3c2cc(O)c(O)c3Cl)c1
,0,,NC(CCl)C(=O)O
,0,,C=CCN1CCc2c(cc(O)c(O)c2Br)C(c2ccccc2)C1
,0,,c1ccc(CN(Cc2ncc[nH]2)c2ccccc2)cc1
,0,,NCCNC(=O)c1ccc(Cl)cc1
,0,,Clc1cccc(N2CCNCC2)c1
,0,,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12
,0,,Nc1cc(Cl)c(NC2=NCCN2)c(Cl)c1
,0,,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCCCC1CN1CCCC1
,0,,NC(N)=NC(N)=Nc1cccc(Cl)c1
,0,,NCCNS(=O)(=O)c1cccc2c(Cl)cccc12
,0,,NCCCCCCNS(=O)(=O)c1cccc2c(Cl)cccc12
,0,,O=S(=O)(c1cccc2c(Cl)cccc12)N1CCCNCC1
,0,,c1ccc(CN2CCC3(CCCc4ccccc43)CC2)cc1
,0,,NCCCNCCCCNCCCN
,0,,NCCC1CCCC(CCN)N1
,0,,Ic1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1
,0,,Clc1cc(I)cc(Cl)c1NC1=NCCN1
,0,,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
,0,,Fc1ccc(C(OCCN2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1
,0,,Fc1ccc(C(OCCCc2cnc[nH]2)c2ccc(F)cc2)cc1
,0,,Fc1ccc(C(c2ccc(F)cc2)N2CCN(CC=Cc3ccccc3)CC2)cc1
,0,,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1
,0,,O=C(CCCN1CCC(O)(c2cccc(C(F)(F)F)c2)CC1)c1ccc(F)cc1
,0,,Cl.NCC(O)c1cc(O)c(O)cc1F
,0,,Cl.NCCCC(N)(C(=O)O)C(F)F
,0,,Cl.O=C(OC1CCN(CCCl)CC1)C(c1ccccc1)c1ccccc1
,0,,O.O=P1(N(CCCl)CCCl)NCCCO1
,0,,Cl.NC1CCN(c2cccc(Cl)n2)CC1
,0,,Cl.NC(N)=NC(=O)c1nc(Cl)c(N)nc1N
,0,,Cl.NC(=NCc1ccccc1)NC(=O)c1nc(Cl)c(N)nc1N
,0,,Cl.Clc1cccc(Cl)c1NC1=NCCN1
,0,,Cl.Clc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1
,0,,Cl.Clc1ccc(Cn2c(CN3CCCC3)nc3ccccc32)cc1
,0,,Cl.Nc1ccc(-c2ccc3ccccc3n2)cc1
,0,,Br.COC(=O)C1=CCCN(C)C1
,0,,Br.CN1C2CCC1CC(OC(=O)C(O)c1ccccc1)C2
,0,,Cl.NCC#Cc1ccccc1
,0,,Cl.Cl.N=C(N)c1ccc(N)cc1
,0,,Cl.NC12CC3CC(CC(C3)C1)C2
,0,,Cl.NN=C(N)N
,0,,Cl.N=C(N)c1ccccc1
,0,,Cl.Cl.Cn1cnc(CCN)c1
,0,,Cl.c1ccc2c(CC3=NCCN3)cccc2c1
,0,,Cl.c1ccc2c(c1)CCCC2C1=NCCN1
,0,,O=C(O)CCC(=O)O.c1ccc(C2(c3ccccc3)CC2C2=NCCN2)cc1
,0,,Cl.c1ccc2c(N3CCNCC3)cccc2c1
,0,,O.c1cnc2c(c1)ccc1cccnc12
,0,,Cl.c1ccc2nc(C3=NCCN3)ccc2c1
,0,,Cl.NCC(O)C1CCCCCCC1
,0,,Cl.O=C(O)C1=CCCN(CCON=C(c2ccccc2)c2ccccc2)C1
,0,,Cl.NOCC(=O)O.NOCC(=O)O
,0,,Cl.c1ccc(C2CC2)c(OCC2=NCCN2)c1
,0,,Br.COc1ccccc1N1CCN(CCCCN2C(=O)c3ccccc3C2=O)CC1
,0,,Br.COc1ccc(-c2ccc(=N)n(CCCC(=O)O)n2)cc1
,0,,Br.COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3.O
,0,,Cl.Cl.c1ccc(CCCN2CCN(CCOC(c3ccccc3)c3ccccc3)CC2)cc1
,0,,Br.C#CCOC(=O)C1=CCCN(C)C1
,0,,Br.CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12
,0,,CC1CCCC=CC2CC(O)CC2(O)CC=CC(=O)O1
,0,,Cl.NCC1OC(C23CC4CC(CC(C4)C2)C3)Cc2c1ccc(O)c2O
,0,,Cl.O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1
,0,,O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O.O=C1CCCN1CC#CCN1CCCC1.O=C1CCCN1CC#CCN1CCCC1
,0,,Cl.NNC(N)=O
,0,,Cl.Cn1ccc2cc3c(cc21)CCN3C(=O)Nc1cccnc1
,0,,Cl.Cn1ccc2cc(NC(=O)Nc3cccnc3)ccc21
,0,,Cl.Oc1ccc2c3c1OC1C(O)CCC4(O)C(C2)N(CC2CCC2)CCC314
,0,,Cl.N=c1ccn2c(n1)OC1C(O)C(CO)OC12
,0,,Cl.O=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5
,0,,Cl.Oc1ccc2c3c1OC1c4[nH]c5ccccc5c4CC4(O)C(C2)N(CC2CC2)CCC314
,0,,Br.NCc1cc(=O)[nH]o1
,0,,Cl.O=c1[nH]oc2c1CCNC2
,0,,Cl.O=C(OCCN1CCOCC1)C1(c2ccccc2)CCCCC1
,0,,Br.COC1CC=C2CCN3CCC4=C(CC(=O)OC4)C23C1
,0,,O=C(O)C=CC(=O)O.c1cnc(N2CCN(Cc3ccc4c(c3)OCO4)CC2)nc1
,0,,Cl.c1ccc2c(c1)OCC(C1=NCCN1)O2
,0,,Cl.O=C1NCC2(CCN(CCc3ccccc3)CC2)O1
,0,,Cl.N=c1c[n+](N2CCOCC2)[n-]o1
,0,,Cl.Cl.Oc1ccc2c3c1OC1c4[nH]c5c(c4CC4(O)C(C2)N(CC2CC2)CCC314)CC1(O)C2Cc3ccc(O)c4c3C1(CCN2CC1CC1)C5O4
,0,,C=C1C(=O)OC2C1CCC(C)=CCCC1(C)OC21
,0,,Cl.Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1
,0,,CCC(C)C1OC2(CCC1C)CC1CC(CC=C(C)C(OC3CC(OC)C(OC4CC(OC)C(O)C(C)O4)C(C)O3)C(C)C=CC=C3COC4C(O)C(C)=CC(C(=O)O1)C34O)O2
,0,,Cl.O=C(O)C1=CCNCC1
,0,,Cl.OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1
,0,,Cl.NCCCCC(=O)O
,0,,Cl.O=C(O)Cc1cnc[nH]1
,0,,Br.C=CCN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3
,0,,Cl.NC1(C(=O)O)CCCCC1
,0,,Cl.NC1(C(=O)O)CC1
,0,,Cl.O=C(O)C1=CCCNC1
,0,,Cl.NC1C=CC=C(C(=O)O)C1
,0,,NC(CO)(CO)CO.O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O
,0,,Cl.O=C(O)C1CCCN(CCC=C(c2ccccc2)c2ccccc2)C1
,0,,Cl.NC(CO)C(=O)NNCc1ccc(O)c(O)c1O
,0,,Br.CN1CCc2cc(O)cc3c2C1Cc1ccc(O)c(O)c1-3
,0,,Br.CCCN1CCc2cc(O)cc3c2C1Cc1ccc(O)c(O)c1-3
,0,,Br.CCCN(CCC)C1CCc2cccc(O)c2C1
,0,,Cl.NCC(O)c1ccc(O)cc1
,0,,Cl.Oc1cc2c(cc1O)C1c3ccccc3CNC1CC2
,0,,Br.NC1CCc2cc(O)c(O)cc2C1
,0,,Br.CCCN(CCC)C1CCc2ccc(O)cc2C1
,0,,Br.CN1CCc2cc(O)c(O)cc2C(c2ccccc2)C1
,0,,Cl.NCCc1c[nH]c2ccc(O)cc12
,0,,Br.CCCN1CCC2c3cc(O)ccc3CCC21
,0,,CS(=O)(=O)O.Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1
,0,,Br.CCCN(CCC)CCc1ccc(O)c(O)c1
,0,,Cl.NCCc1ccc(O)c(O)c1
,0,,Cl.Cl.NNCc1cccc(O)c1
,0,,Br.CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1
,0,,Cl.NO
,0,,Cl.Cl.OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1
,0,,Cl.OCc1cnc[nH]1
,0,,O=C(O)c1ccc2ccccc2c1O.OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O
,0,,Br.Br.N=C(N)SCCc1cccc(CCSC(=N)N)c1
,0,,Br.Br.N=C(N)SCCc1ccc(CCSC(=N)N)cc1
,0,,Cl.Nc1c2c(nc3ccccc13)CCCC2
,0,,O=C(O)C=CC(=O)O.O=[N+]([O-])c1ccc2nc(N3CCNCC3)ccc2c1
,0,,[Cl-].c1ccc2c(c1)[I+]c1ccccc1-2
,0,,CS(=O)(=O)O.Cc1c(C(=O)c2cccc3ccccc23)c2cccc3c2n1C(CN1CCOCC1)CO3
,0,,Cl.NCCNC(=O)c1ncsc1-c1cccc(F)c1
,0,,Cl.c1ccc(C2CN3CCSC3=N2)cc1
,0,,O=C(O)C=CC(=O)O.O=C(O)C=CC(=O)O.c1cc(CN2CCCCC2)cc(OCCCNc2nc3ccccc3s2)c1
,0,,Cl.Cl.OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
,0,,Cl.O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12
,0,,Br.Oc1ccc(C2CNCc3sccc32)cc1O
,0,,O=C(O)C=CC(=O)O.S=C(NC1CCCCC1)N1CCC(c2cnc[nH]2)CC1
,0,,Br.CN=c1nc(-c2ccccc2)n(-c2ccccc2)s1
,0,,Cl.NCCc1ccc(S(=O)(=O)F)cc1
,0,,Br.Br.N=C(N)SCCN
,0,,Br.Br.N=C(N)SCCc1cnc[nH]1
,0,,Br.CCSC(=N)N
,0,,Cl.NC(N)=NCCNS(=O)(=O)c1cccc2cnccc12
,0,,Cl.Cl.NCCNS(=O)(=O)c1cccc2cnccc12
,0,,Cl.NCCc1ccc(O)cc1
,0,,Cl.Cl.NCCSSCCN
,0,,CCCc1ncc(C[n+]2ccccc2C)c(N)n1
,1,,C[n+]1cccc(C(N)=O)c1
,1,,Cn1c(=O)[nH]c2nc[nH]c2c1=O
,1,,COc1cc(C2Oc3cc(-c4oc5cc(O)cc(O)c5c(=O)c4O)ccc3OC2CO)ccc1O
,1,,O=C(O)c1ccnc(C(=O)O)c1
,1,,CC(C)(C)c1cc(O)c(C(C)(C)C)cc1O
,1,,CCC1(CC)CCNC1=O
,1,,CC1CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1C
,1,,CC(CCCC(C)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C)C(=O)O
,1,,O=C(C=Cc1ccccc1)OCC1(O)C(O)C(O)C2C=COC(OC3OC(CO)C(O)C(O)C3O)C21
,1,,CC(C)CC(=O)C(=O)O
,1,,N#Cc1c(-c2ccccc2)no[n+]1[O-]
,1,,CCCCCC=CC(=O)CCc1ccc(O)c(OC)c1
,1,,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1
,1,,Cn1cnc2[nH]c(=O)[nH]c(=O)c21
,1,,O=C(O)C=CCCCCCCCO
,1,,CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1
,1,,CC(=O)Nc1ccc(O)cc1
,1,,NCCCCN=C(N)N
,1,,CC(N)C(=O)O
,1,,NC(=O)NC1NC(=O)NC1=O
,1,,CCC(C)C(=O)C(=O)O
,1,,CC(C)C(=O)C(=O)O
,1,,O=C(O)CCC(=O)C(=O)O
,1,,O=C(O)CCCCC1CCSS1
,1,,CC(=CCCC1(C)C2CC3C(C2)C31C)CO
,1,,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2
,1,,CCNC(=O)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
,1,,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O
,1,,OCC1OC(Oc2ccc(O)cc2)C(O)C(O)C1O
,1,,COc1cc(CC2C(=O)OCC2Cc2ccc(OC)c(OC)c2)ccc1O
,1,,COc1ccc(CC2COC(=O)C2Cc2ccc(OC3OC(CO)C(O)C(O)C3O)c(OC)c2)cc1OC
,1,,O=C1OC(C(O)CO)C(O)=C1O
,1,,CC(=O)CCC(C)OC1OC(C)C(O)CC1O
,1,,CC(CCCCC=CC(=O)O)OC1OC(C)C(O)CC1O
,1,,NC(=O)CC(N)C(=O)O
,1,,CC(=O)Oc1ccccc1C(=O)O
,1,,O=[N+]([O-])c1ccc(-c2csc(CCl)n2)cc1
,1,,O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12
,1,,NCCC(=O)O
,1,,C=C1CCC=C(C)CCC2C1CC2(C)C
,1,,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O
,1,,C=C1C2CCC(C2)C1(C)CCC=C(C)CO
,1,,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O
,1,,OC(CN1CCN(c2cccc(Cl)c2)CC1)C(c1ccccc1)c1ccccc1
,1,,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)C
,1,,COc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1
,1,,O=C(O)C=Cc1ccc(O)c(O)c1
,1,,O=C(C=Cc1ccc(O)c(O)c1)OCCc1ccccc1
,1,,Cn1c(=O)c2c(ncn2C)n(C)c1=O
,1,,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1O
,1,,CCCCCCCC(=O)O
,1,,N#CC(C#N)=NNc1cccc(Cl)c1
,1,,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2
,1,,CC1=C(O)C(=O)C=C2C1=CC=C1C2(C)CCC2(C)C3CC(C)(C(=O)O)CCC3(C)CCC12C
,1,,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1
,1,,O=C1CSC(c2ccccc2Cl)c2cc(Cl)ccc2N1
,1,,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
,1,,CN(C)CCC=C1c2ccccc2Sc2ccc(Cl)cc21
,1,,Cc1cc(C2CCCCC2)n(O)c(=O)c1
,1,,OCCN1CCN(CCC=C2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
,1,,CCCCCCC=CCCCCCCCCCC(=O)O
,1,,O=C(O)CC(O)(CC(=O)O)C(=O)O
,1,,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1
,1,,CNc1cccc2c(S(=O)(=O)NCCCCN3CCN(c4ccccc4OC)CC3)cccc12
,1,,CN(CC(=O)O)C(=N)N
,1,,COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O
,1,,CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)C5CC5C4(C)C3CCC21C
,1,,NC(CS)C(=O)O
,1,,CC(CCCC(C)C1CCC2C3CCC4CC(=O)CCC4(C)C3CCC12C)C(=O)O
,1,,Cc1cccc(C)c1OCc1cc(C(=O)N2CCC(c3ccncc3)CC2)no1
,1,,CC1(C)CCc2c(ccc3c2OC(=Cc2ccc(O)cc2)C3=O)O1
,1,,C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C
,1,,O=C1NC(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc21
,1,,CC(O)CC(=O)O
,1,,CC(C)c1ccc2c(c1)CCC1C(C)(C(=O)O)CCCC21C
,1,,CN(C)C1C(=O)C(C(N)=O)=C(O)C2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4C(O)C3CC12
,1,,NC1C(O)OC(CO)C(O)C1O
,1,,OCC1OC(O)C(O)C(O)C1O
,1,,C=CCSSSCC=C
,1,,O=C(O)C(Br)Br
,1,,O=C(O)C(Cl)Cl
,1,,CCOC(=O)C=CC(=O)OCC
,1,,CC(C)C1(NC(=O)C2CC3c4cccc5[nH]cc(c45)CC3N(C)C2)OC2(O)C3CCCN3C(=O)C(Cc3ccccc3)N2C1=O
,1,,CN1CC(C(=O)NC2(C)OC3(O)C4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)CC2c3cccc4[nH]cc(c34)CC21
,1,,CN(C)C=O
,1,,CSC
,1,,C[S+](C)[O-]
,1,,CC1CCC2(OC1)OC1CC3C4CC=C5CC(O)CCC5(C)C4CCC3(C)C1C2C
,1,,O=C(O)CC(C(=O)O)C(O)C(=O)O
,1,,CC(O)C(=O)O
,1,,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC
,1,,CC1c2cccc(O)c2C(O)=C2C(=O)C3(O)C(O)=C(C(N)=O)C(=O)C(N(C)C)C3C(O)C21
,1,,CC1OC(OC2C(O)C(OCCc3ccc(O)c(O)c3)OC(COC3OC(CO)C(O)C(O)C3O)C2OC(=O)C=Cc2ccc(O)c(O)c2)C(O)C(O)C1O
,1,,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O
,1,,OC(CN1CCC(Cc2ccc(F)cc2)CC1)c1ccc(Cl)cc1
,1,,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23
,1,,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21
,1,,O=C(OC1Cc2c(O)cc(O)cc2OC1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1
,1,,CCn1c2cc(=[NH2+])ccc-2c2ccc(N)cc2c1-c1ccccc1
,1,,CCC1(C)CC(=O)NC1=O
,1,,COc1cccc(C=NCCN=Cc2cccc(OC)c2O)c1O
,1,,N#CC(C#N)=NNc1ccc(OC(F)(F)F)cc1
,1,,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1
,1,,Nc1nc2ncc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)nc2c(=O)[nH]1
,1,,CC(=O)OC1CC(C)(C)C(=C=CC(C)=CC=CC(C)=CC=CC=C(C)C=CC=C(C)C(=O)CC23OC2(C)CC(O)CC3(C)C)C(C)(O)C1
,1,,O=C(O)c1cc(O)c(O)c(O)c1
,1,,Cc1c(O)cc2c(c1C)OC(C)(CCCC(C)CCCC(C)CCCC(C)C)CC2
,1,,C=CCS[S+]([O-])CC=C
,1,,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12
,1,,CCC(C)(O)C(=O)OC1C(=O)OC2CC3C(C)=CC(=O)C(O)C3(C)C3C4(O)OCC23C1C(C)C4O
,1,,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O
,1,,OCC(O)CO
,1,,NCC(=O)O
,1,,NC(N)=NN=Cc1c(Cl)cccc1Cl
,1,,COc1ccc(P(=S)(S)N2CCOCC2)cc1
,1,,NC(Cc1cnc[nH]1)C(=O)O
,1,,NC(CCS)C(=O)O
,1,,O=C(O)C1C2C=CC(C2)C1C(=O)O
,1,,CC=C1C2C=C(C)CC1(N)c1ccc(=O)[nH]c1C2
,1,,NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1
,1,,COc1ccc(-c2oc3c(CC=C(C)C)c(OC4OC(CO)C(O)C(O)C4O)cc(O)c3c(=O)c2OC2OC(C)C(O)C(O)C2O)cc1
,1,,c1ccc2[nH]ccc2c1
,1,,OC1C(O)C(O)C(O)C(O)C1O
,1,,CCC(C)C(N)C(=O)O
,1,,C=C(C)CCO
,1,,O=C1C=CC(=O)c2c(O)cccc21
,1,,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1
,1,,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1
,1,,COc1cc(C2CC(=O)c3c(O)cc(OC4OC(COC(C)=O)C(O)C(O)C4O)cc3O2)ccc1O
,1,,COc1cc(C2Oc3c(OC)cc(CC4COC(=O)C4Cc4cc(OC)c5c(c4)C(CO)C(c4ccc(O)c(OC)c4)O5)cc3C2CO)ccc1O
,1,,CC(O)=C(C#N)C(=O)Nc1cc(Br)ccc1Br
,1,,COC(=O)C(N)Cc1cnc[nH]1
,1,,CC(C)CC(N)C(=O)O
,1,,O=C(O)c1nn(Cc2ccc(Cl)cc2Cl)c2ccccc12
,1,,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1
,1,,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1
,1,,CCNC(=O)CCC(N)C(=O)O
,1,,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
,1,,CC(C)C(N)C(=O)O
,1,,Nc1ccc(CCN2CCN(c3cccc(C(F)(F)F)c3)CC2)cc1
,1,,O=S1(=O)N(CCN2CC=C(c3c[nH]c4cc(F)ccc34)CC2)c2cccc3c2N1CCC3
,1,,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12
,1,,NCCCCC(N)C(=O)O
,1,,Cc1ccc(CC(NC(=O)OC(C)(C)C)C(=O)O)cc1
,1,,COc1cc(CC2COC(=O)C2Cc2ccc(O)c(OC)c2)ccc1O
,1,,CN1CC(CNC(=O)OCc2ccccc2)CC2c3cccc4c3c(cn4C)CC21
,1,,CSCCC(N)C(=O)O
,1,,COC(=O)c1ccc(O)c(O)c1
,1,,CCC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1
,1,,CN1CCN2c3ccccc3Cc3ccccc3C2C1
,1,,CN(C)c1ccc(O)c2c1CC1CC3C(N(C)C)C(=O)C(C(N)=O)=C(O)C3(O)C(=O)C1=C2O
,1,,CN1CC=C(c2ccccc2)CC1
,1,,CC(=CC=CC(C)C(=O)O)C1CNC(C(=O)O)C1CC(=O)O
,1,,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12
,1,,COC(=CC(N)=O)C(C)C(C=Cc1csc(-c2csc(C(C)C=CC=CC(C)C)n2)n1)OC
,1,,COc1cccc(C(=O)NCCN2CCN(c3ccc(Cl)cc3)CC2)c1
,1,,CC(=O)NC1C(O)OC(CO)C(O)C1O
,1,,CC(=O)NC(CS)C(=O)O
,1,,CC(=O)NC(Cc1cnc[nH]1)C(=O)O
,1,,COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1
,1,,O=C1C=CC(=O)c2c(O)ccc(O)c21
,1,,CC1OC(OC2C(Oc3cc(O)c4c(c3)OC(c3ccc(O)cc3)CC4=O)OC(CO)C(O)C2O)C(O)C(O)C1O
,1,,NC(=O)c1cccnc1
,1,,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1
,1,,O=[N+]([O-])C1CNCCN1c1ccccc1
,1,,CN(C)N=O
,1,,CNCCC=C1c2ccccc2CCc2ccccc21
,1,,CN1CCN(C2Cc3ccccc3Sc3ccc(Cl)cc32)CC1
,1,,CC1(C)CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1
,1,,NCCCC(N)C(=O)O
,1,,O=C(O)CC(=O)C(=O)O
,1,,O=c1[nH]c2ccccc2n1CCCN1CCN(C(c2ccccc2)c2ccccc2)CC1
,1,,O=c1c(=O)c(=O)c2ccccc2c1=O
,1,,Oc1cc(O)cc(C=Cc2ccc(O)cc2O)c1
,1,,CCCCCCC=CCCCCCCCC(=O)O
,1,,C[n+]1ccc(-c2cc[n+](C)cc2)cc1
,1,,CC(C)(O)C1OC2CCC3(C)C(O)(CCC4Cc5c([nH]c6ccccc56)C43C)C2=CC1=O
,1,,CCCN1CC(CSC)CC2c3cccc4[nH]cc(c34)CC21
,1,,NC(N)=NC(N)=NCCc1ccccc1
,1,,CC1OC(OCC2OC(Oc3cc(CCO)ccc3O)C(O)C(O)C2O)C(O)C(O)C1O
,1,,CCCCCCCCCCCCCCCCCCOCC(COP(=O)(O)OC1C(OCC2CCCCC2)CC(O)C(O)C1O)OC
,1,,C=C(OP(=O)(O)O)C(=O)O
,1,,O=C(O)c1ccccn1
,1,,CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1
,1,,CC=C(C)C(O)C(C)C=C(C)C=CCC(C)=CCc1[nH]c(OC)c(OC)c(=O)c1C
,1,,CC1=CC(=O)c2c(O)cccc2C1=O
,1,,OCC1OC(Oc2cc(O)cc(C=Cc3ccc(O)cc3)c2)C(O)C(O)C1O
,1,,OCC1OC(Oc2c(O)cc(O)cc2C=Cc2ccc(O)cc2)C(O)C(O)C1O
,1,,CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C
,1,,COc1c(O)cc(C2Oc3c(c(O)cc(O)c3C3c4c(O)cc(O)cc4OC(c4ccc(O)cc4)C3O)CC2O)cc1O
,1,,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(OC1(c3ccc(O)c(O)c3)Oc3cc(O)cc(O)c3C(O)C1O)C2
,1,,CC(CN1c2ccccc2Sc2ccccc21)N(C)C
,1,,CCC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2
,1,,CCCOC(=O)c1cc(O)c(O)c(O)c1
,1,,O=C(O)c1ccc(O)c(O)c1
,1,,O=c1ccc2c(OCCCCc3ccccc3)c3ccoc3cc2o1
,1,,O=c1ccc2cc3ccoc3cc2o1
,1,,NCCCCN
,1,,O=C(O)c1cc(C(=O)O)c2c(n1)C(=O)C(=O)c1cc(C(=O)O)[nH]c1-2
,1,,CC(=O)C(=O)O
